Company Name,Email Domain,Email,Source
Silvery Dragon Prestressed Materials Co,yinlong.com,yuxia@yinlong.com,Cares UK
Siteright Construction Supplies Limited,siteright.net,stevenl@siteright.net,Cares UK
Solb Tihama Steel Products Company,solbtihama.com,m.arsalan@solbtihama.com,Cares UK
Sovel S.A,sidenor.gr,amast@sidenor.gr,Cares UK
Soybaş Demir Çelik,www.soybas.com,,Eurometal
Spain: UNESID - Spanish Steel Association,,,Eurofer
Stahl- und Walzwerk Marienhütte GmbH,marienhuette.at,office@marienhuette.at,Eurofer
Stahlwerk Thüringen GmbH,,,Eurofer
Stainless UK Limited,stainless-uk.co.uk,michael.booth@stainless-uk.co.uk,Cares UK
Stanley Wire Ltd,stanleywire.co.uk,henry@stanleywire.co.uk,Cares UK
Steel Asia Manufacturing Corporation,steelasia.com,maenriquez@steelasia.com,Cares UK
Steel Mac Distribution (SMD) Ltd,steelmacdistribution.com,james@steelmacdistribution.com,Cares UK
Steeldip,steeldip.com,,Eurometal
Steelforce,www.steelforce.eu,,Eurometal
Steelinvest,www.steelinvest.be,,Eurometal
Steelinvest Limited,steelinvest-group.com,ddb@steelinvest-group.com,Cares UK
Steelmont,www.steelmont.de,,Eurometal
Steeltrax,steeltrax.pt,,Eurometal
Steenhuis Beton B.V.,steenhuisbeton.nl,a.holtkamp@steenhuisbeton.nl,Cares UK
Stemcor,www.stemcor.com,,Eurometal
Stemcor Distribution,www.stemcor.com,,Eurometal
Stemcor Distribution Ltd T/A Eurosteel Products and Samac Steel Supplies,stemcor.com,Nathalie.phillips@Stemcor.com,Cares UK
Store Steel,store-steel.si,info@store-steel.si,Eurofer
Stål og Metallgrossistenes Forening (NO),www.stalforbund.no/medlemsforetak/stal-og-metallgrossistenes-forening,,Eurometal
Stål- och Metallföreningen (SE),www.branschkansliet.se,,Eurometal
Stålforeningen (DK),www.branchehuset.dk/staalforeningen.php,,Eurometal
Sulb Company B.S.C. Closed,sulb.com.bh,robert.east@sulb.com.bh,Cares UK
Super Bend PTE Ltd,superbend.com,kt@superbend.com,Cares UK
Suretec Products Ltd,suretecproductsltd.co.uk,paul@suretecproductsltd.co.uk,Cares UK
Sweden: Jernkontoret - The Swedish Steel Producers' Association,jernkontoret.se,office@jernkontoret.se,Eurofer
TATA Steel Manufacturing (Thailand) Branch no TSMT04,tatasteelthailand.com,anothait@tatasteelthailand.com,Cares UK
TATA Steel Manufacturing (Thailand) Public Company Limited,tatasteelthailand.com,surasakc@tatasteelthailand.com,Cares UK
TRASTEEL International SA,trasteel.com,matteo.delcarratore@trasteel.com,Cares UK
TRAVI E PROFILATI DI PALLANZENO S.p.A.,dufercotp.com,g.guerrini@dufercotp.com,Cares UK
Tata Steel Distribution (UK) & (IR),www.tatasteeleurope.com,,Eurometal
Tata Steel Distribution Mainland (EU),www.tatasteeleurope.com,,Eurometal
Tata Steel Distribution UK,www.tatasteeleurope.com,,Eurometal
Tata Steel Holding Netherlands BV,,,Eurofer
Tata Steel IJmuiden,www.tatasteeleurope.com,,Eurometal
Tekninen Kauppa (FI),www.tekninen.fi,,Eurometal
Terwa,terwa.com,a.munteanu@terwa.com,Cares UK
Thames Reinforcements Ltd.,thamesreinforcements.com,luke.howell@thamesreinforcements.com,Cares UK
Thames Specialist Services,thamesreinforcements.com,becky.may@thamesreinforcements.com,Cares UK
The Siam Industrial Wire Co. Ltd,siw.co.th,pusit_j@siw.co.th,Cares UK
ThoRe Steel Trading,www.thore-steel.de,,Eurometal
Toscelik Profil ve Sac End. A.S (Osmaniye,toscelik.com.tr,hasan.baloglu@toscelik.com.tr,Cares UK
Tosyali Algerie Fer Et Acier,tosyalialgeria-spa.com,Mohammed.Benmbarek@tosyalialgeria-spa.com,Cares UK
Tosyali Filmasin ve Insaat Demiri A.S (Osmaniye,toscelik.com.tr,Bahri.ikiz@toscelik.com.tr,Cares UK
Tosyali Metalurji Industry Co.,tosyalimetalurji.com.tr,Serkan.dolapcioglu@tosyalimetalurji.com.tr,Cares UK
Total Construction Supplies (Northern) Ltd (SiteD),total-group.co.uk,john.Gilby@total-group.co.uk,Cares UK
Total Construction Supplies (Processing) Ltd (Site E),total-group.co.uk,John.gilby@total-group.co.uk,Cares UK
Total Construction Supplies Limited,total-group.co.uk,finbarr.lynch@total-group.co.uk,Bar UK
Total Construction Supplies Limited (SiteA),total-group.co.uk,john.Gilby@total-group.co.uk,Cares UK
Trinecke Zelezarny AS,trz.cz,podatelna@trz.cz,Eurofer
Tunley Rod & Bar (Decoilers) Ltd,tunleyrod.co.uk,glenn@tunleyrod.co.uk,Cares UK
U.S. Steel Kosice,,,Eurofer
"UAB ""Litspringas""",litspringas.com,tech@Litspringas.com,Cares UK
UAHE,uahe.es,,Eurometal
VAS Group Nghi Son Joint Stock Company,vasgroup.vn,trangtvh@vasgroup.vn,Cares UK
VSC Construction Steel Solutions Ltd,vschk.com,jason.lim@vschk.com,Cares UK
VSC Steel Company Limited,vschk.com,jason.lim@vschk.com,Cares UK
VSC Steel Processing Ltd,vschk.com,jason.lim@vschk.com,Cares UK
VSEMH,www.vsemh.ch,,Eurometal
VSL Singapore PTE Ltd.,vsl.com,boonleong.yeo@vsl.com,Cares UK
VSL Systems (UK) Ltd,vsl.com,manuela.carreiras@vsl.com,Cares UK
Vale International,www.vale.com,,Eurometal
Van Heyghen Staal (BE) & (PL),www.vanheyghenstaal.be,,Eurometal
Vanilla Steel,www.vanillasteel.com,,Eurometal
Vantage Steel Group,vantagesteelgroup.com,,Eurometal
Vitkovice Steel a.s.,,,Eurofer
Vogten Staal (NL),vogtenstaal.com,,Eurometal
Wai Fong Machinery Pte Ltd,waifongmachinery.com.sg,jennyng@waifongmachinery.com.sg,Cares UK
William King (UK),www.williamking.co.uk,,Eurometal
Wirtschaftsvereinigung Stahl (German Steel Association),wvstahl.de,info@wvstahl.de,Eurofer
YISAD,www.yisad.org.tr,,Eurometal
YISAD (TR),www.yisad.org.tr,,Eurometal
Yametaş,yametas.com.tr,,Eurometal
Yametaş (TR),yametas.com.tr,,Eurometal
itandsp.com,www.itandsp.com,,Eurometal
macroMETAL,www.macrometal.com,,Eurometal
thyssenKrupp AG,thyssenkrupp.com,info@thyssenkrupp.com,Eurofer
van Merksteijn B.V.,van-merksteijn.nl,booijink@van-merksteijn.nl,Cares UK
voestalpine AG,,,Eurofer
Çelik Halat ve Tel Sanayii A.Ş,celikhalat.com.tr,bkuner@celikhalat.com.tr,Cares UK
